Name,Original Title,Korean Name,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Number of Ratings (num),Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
Just Between Lovers,Geunyang Saranghaneun Sai,?? ???? ??,TV Series,2017-2018,N/A,1h 10m,16,1,2,8.2,3.5K,3500,https://m.media-amazon.com/images/M/MV5BMmQ2MjYwOTQtZGI4ZC00Mjg5LTgyMDUtN2FiN2I0ZWZiZWRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Korean Drama, Drama, Romance","A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever.","Lee Jun-ho, Won Jin-ah, Lee Ki-woo",Watch on Netflix (https://www.netflix.com/watch/81500002)
Revenge of Others,3inching Boksu,3?? ??,TV Series,2022,TV-MA,1h,12,1,1,7.6,3.5K,3500,https://m.media-amazon.com/images/M/MV5BNzc3MDgwMmEtOTU2MS00MGU4LWFjYWYtY2ExMDNiNGQ2MTY3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi1132840217/1434659607842-pgv4ql-1668652734036.mp4?Expires=1730931962&Signature=s2mduubp4kBHPC3Mpvm0DwqtJZI~swHpGwtre7FKpeF7~VKsig3Nh3Zy1Dh8oWTFXg1JZ1uhcRAI3LAF07lEwKdnO0iYWP4EYaKeeUpdyQ6ckwElotEra6CiyL2SDG2ZpykvYyyjlYqWhBXs9QoT~pIZkPLRxTI51Q0RRYpVF8VSbYAa4rTDdCvPpIk-Ufu2~J6Q7HesjJ-q38PsmZGHhIfapRy8T-ry9EdcbV6wdupKpLILOPnFGdQ-E6bTuQCvtOUQyoCQ5arytUKoHmW6I4aDoKAOXEkKSIU311gt6tqjOcskeuOXAFkMla09x~DYgoh7KtZ~1~2pgx~LtMlFQQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Suspense Mystery, Action, Drama, Mystery, Thriller",Follows the story of Ok Chan-mi as she seeks revenge for the death of her twin brother.,"Shin Ye-eun, Park Solomon, Seo Ji-hoon",Watch on Hulu (http://www.hulu.com?d=Amazon)
Navillera,Nabillera,????,TV Series,2021,N/A,1h,12,1,1,8.7,3.4K,3400,https://m.media-amazon.com/images/M/MV5BMWUyMmUyNjMtNWE5Zi00N2EwLWE1Y2EtNWFhNzI4OWZiM2M5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi4253204505/1434659607842-pgv4ql-1617201369984.mp4?Expires=1730931832&Signature=LiJgm~D~aSrfcRl~ZmmPqXLtXErvhjBfiTC18KAVAQJLd4VTeuG56AF3GgXUnCUnCRV1nn3o2wt3va7s~mSE2phgmeO4z5u-BBx2YiYWG6Z343B2UTYvWfZz79SXueqsa4boJ8KNuVD50c4HqtCQlPsTUBYqHcj4AOHAhdWLDAphCjS6GECwL2BdLbu3hW-crXozphjPuUifLdLtDMZJQrsNKTe1u3gxPBp39kcOAnECcXkXoDgtS3A-AP6z4WLHKQYVkpNSn3DGv1VlpWOOqzr5xRsNjdWiV8aYxcMcJqh~E7LSnwZ6H6JnOf5JiVO~FcuZsERGj5d56xchjEw3aQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama",A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.,"Jimin, Park In-hwan, Song Kang",Watch on Netflix (https://www.netflix.com/watch/81403966)
Rookie Historian Goo Hae-Ryung,Shinibsagwan Goohaeryung,???? ???,TV Series,2019,N/A,35m,40,1,1,8.1,3.4K,3400,https://m.media-amazon.com/images/M/MV5BYzYwY2I1NzktZGI2Zi00NDExLWFhNDYtYzc4MTMxNzMzYjRkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi157400089/1434659607842-pgv4ql-1563541623820.mp4?Expires=1730935091&Signature=Zl78BjbeB-ys1KtzPhC9ZruKMD-ftlTh-FSjkhqPOgf5PeLQyAbt45wzL~tkq213lE1eJY9N-OoL2tgBSmSS1HGmjflHz5OTswDSJBjXrd3gEzd5zSx1V~g6SpwLCuE7-~HOnRs33No1Bbn4lCaONewcXyhqFqyik0ysfMzwdHshR6A0B6PBbdyC~-b5iVc1qZB99QddhFaakhhd2siWSxboZGndpwjxoU5PIdnWlf9kIdcmZH4aLfpmJksaZFnSqfd9r9lD1VqQr1tTQOSKLSgK37S5YfPk4WnzhqpNzKYtteZ6cefuPv3bsdldFnq74IiRSPkxQooSoYuBv82GHA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, History, Romance","Set in 19th-century Korea, a female historian faces gender discrimination but perseveres. She gets entangled with Prince Lee Rim, blurring lines between duty and personal involvement.","Shin Se-Kyung, Cha Eun-woo, Lee Ji-hoon",Watch on Netflix (https://www.netflix.com/watch/81116487)
Castaway Diva,N/A,???? ??,TV Series,2023,TV-MA,1h 20m,12,1,1,7.9,3.4K,3400,https://m.media-amazon.com/images/M/MV5BYmQ3MGZiMGUtNjNjYy00MGI5LTlmYTItOTllZmY1NTJmMzFiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi272090905/1434659607842-pgv4ql-1698898907617.mp4?Expires=1730932487&Signature=cgpMx3nQhoiH6MUV~U4uPaI~J8RK1VhpFrLgC1C~ZfgMtsQpvBbsob9SzF6-V~Xynq8qB~nhlsGoqBTtZ4u~ncaYk0qAbS7Avi6QyHuYqD-JIWKSQh18xvkAh~85zQ6FJvdH~S4jb6xBnYuGNbI3E2SCK7klWSo3NOEVLyfWbgqUcyIC~QAX2kgh68klYzZzZzxhCJPxdYz5ckmVvhHDuIGA4RTuOcmRofuXQLdov0MVV6iIqdc6OBEqYETyomRDHbOL4BvvdU3fK-fDQ3G1MPmllSej-T8zCeNjuJ8YLsoQnZ0JbyyPSiP6Rp9TvFks8nLvQbaF9PZBDOEuvecXyQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Comedy, Drama, Music, Romance",An aspiring singer who spends fifteen years alone on a deserted island before setting out on a journey to become a diva.,"Park Eun-bin, Ell, Hao Feng",Watch on Netflix (https://www.netflix.com/watch/81701128)
When the Camellia Blooms,Dongbaekkkot pil muryeop,??? ? ??,TV Series,2019,N/A,30m,40,1,1,7.9,3.4K,3400,https://m.media-amazon.com/images/M/MV5BYjU0MDU5Y2MtOGU4NC00NTIxLThjZGEtMDM2NDg3ODkwYmNiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi4092904217/1434659607842-pgv4ql-1635834930381.mp4?Expires=1730935719&Signature=iFvmtPfoXZc8KzSFh~iuaBS5jUvXHp9W9STDwpaAnjTT-c5OmMxtejV6f20XDWkTkAKoRwSfLuEtF~xob0LSaTYmQyK-j5cmHGLv7h2g4Q5LzILZJjxH866QqTayBh7UXMzfnJJzg-d0u7tZO9rBcmLsB~Qq8jBG8kGuyXI74sKceTJEjR7kZMB3By~JX73ypU9K4s-EobtXO-3VDaorbQAZQZ3IWtYJ5IGC95llqxNEe1Vw5x4-51lla9OnaCK7V8aB7IhU6ps1nUjrcTuAO1h4NeVDU2L7rKA~GQfpDozi5medYPAyFOXKLb8OYS6mU5v4XOwB~DZD7WZBLK3XDg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Romance, Thriller","A love story of the single-parent Dongbaek, the owner of Camellia Bar among a small neighborhood, who is also being the next murder target of a serial killer case.","Kong Hyo-jin, Kim Ji-seok, Ji E-Suu",Watch on Netflix (https://www.netflix.com/watch/81144925)
Beauty Inside,Byuti Insaideu,?? ????,TV Series,2018,N/A,1h 10m,16,1,1,7.5,3.4K,3400,https://m.media-amazon.com/images/M/MV5BYTNjNzk3YTYtZTJmMC00NDUwLTk4ZTYtNGE4NWM1ZWY3ZmU3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi1872610073/1434659607842-pgv4ql-1634107244566.mp4?Expires=1730935508&Signature=NBDoz5cnaI8HyXp4tvwt7Ql9QOQFD6Ot88MBswLtvm9SEgObUX4c1wVsecho7O1W9Lnw7QZXOdMfi7qwIsj~nTa5VHQpw1v3Z8W~1HYhR3UleGgXbNHnqNrt7WdZ7nDuWKbRV9qm62CvUOZ47ufwlzxJt9hh~D9eR1JtT0taK5suZ7t3~cQTXIN3HTmOCHh5StHdjMpI3aGZ65MzjixVuOs3crrClhRoZHcdrW0oDghrltQ~NaiMRNBfFHmI354KP6wxhsVjgKDLhdBveZJ9JRDJDSUXVAas0iMxe-T12A5xf4t3Cjzpfv1MVVdlmrcj0efEr-mesRnVAiEa~rGsOw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Fantasy, Romance","The series tells the love story of Han Se Gye, an actress who must spend one week out of each month living in someone else's body, and Seo Do Jae, a man who suffers from Prosopagnosia.","Seo Hyeon-jin, Lee Min-ki, Lee Da-hee",Watch on Netflix (https://www.netflix.com/watch/81029990)
Red Sleeve,Otsomae Bolkeun Kkeutdong,??? ?? ??,TV Series,2021-2022,TV-14,1h 10m,17,1,2,8.5,3.3K,3300,https://m.media-amazon.com/images/M/MV5BYzBmMzAwNzItZDZmOS00NzdiLWFjODAtOTM0ZGQzZmJmMjI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2649670425/1434659607842-pgv4ql-1637649831528.mp4?Expires=1730938608&Signature=YfzunbRgS8ut8J3YSxNEGx6w87DsaippX~3zmyTKG~OOA1CCg7tw8h4caoP9Bivhg0H-OKA6niKAtE85H2WzwScUJzJL5Q4EDz4tn01A2fyqd7b6eFWlWYLNPgzRFTITgSCUkJyhUl2f4OT4-8yRi6hVAXPGScBLd1xB80ih4kft1sCQnOBoRudVb~ObTRy9aU4Cu9UOMFwnC1GhLW1cHqTZtiC3z5ss4Ape2IcXhEOHbusDBbCn5A0qaNDgaDeUcHoRzVrGl4pndtbcQ2ajIBMaJW7VjOYzkkp9ijPJ34uP~uepxmN5WXjPoYmA-AyCnyo1cX6jMqgdkLRkqyySeA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, History, Romance","Based on a novel of the same name, it tells the record of a royal court romance between the King of Joseon who places his duty to his country first above love, and a court lady who wants to protect the life she has chosen.","Lee Ji-wan, Lee Jun-ho, Lee Se-yeong",N/A
Fated to Love You,Un-myeong-cheol-eom neol sa-rang-hae,???? ? ???,TV Series,2014,TV-14,1h,20,1,1,7.9,3.3K,3300,https://m.media-amazon.com/images/M/MV5BNjdhNjdmNjUtZjNjNy00NWUxLTkwODUtYTk1YTUzY2FiZDI1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Comedy, Romance","A touching Korean drama filled with comedy about a girl who finds happiness, friendship and love in the most unexpected way!","Jang Hyuk, Jang Na-ra, Choi Jin-hyuk","Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.55f0d467-aa67-456c-8fe8-1506dd2050c1), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.55f0d467-aa67-456c-8fe8-1506dd2050c1)"
Doctors,Dakteoseu,???,TV Series,2016,N/A,1h,20,1,1,7.6,3.3K,3300,https://m.media-amazon.com/images/M/MV5BZmZiYWM1OTAtYTVkMy00Mjc5LWFmODAtZTE5MzM1YjAzOTk1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Medical Drama, Comedy, Drama, Romance","A rebellious young woman encounters a compassionate teacher whose impact motivates her to transform her life, aspiring to become a neurosurgeon.","Park Shin-hye, Lee Sung-kyung, Kim Rae-won",Watch on The Roku Channel (https://therokuchannel.roku.com/details/8a1ccee577065866af8d9b0add5e5299)
Bulgasal,N/A,???,TV Series,2021-2022,N/A,1h,16,1,2,7.4,3.3K,3300,https://m.media-amazon.com/images/M/MV5BYzJiMDhmMGEtYjc3MC00NDlkLTgzNjYtMzk3NTczOGU5MDNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi734380825/1434659607842-pgv4ql-1639401865156.mp4?Expires=1730935723&Signature=O3f072ab0j7s0XlR9c0fa9k0vXXtHzhMLqnaedcMdt6R0lPd~Qu4hiMnUAFsYrcTnKoGC2uyPBxiya2kjaDgpSsKzV-Z-q1i9pHCQ1iv5BwnzmOtK-~-lKij4BdnD7bKaZ3TWX4CMUA4jOpBabJpM502OImIrDUbs8Eb1WwXI1~e3oFBayk34J3zWS3AWbE1pjoTW4P-otIowS~fMURVKOSNySZ6NR8a893tS-nhanMZKVuhcRh-CAik2ycwLUUjSEcQ0BVI8c~n64GwDoZDGEZax3RfkFV4qjiDkCHgSBcOx54ISLM8XulKrFF9dtfPrMaM8Zkls4FBK2Y1KBFAHw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Fantasy, Thriller","The story of a man-turned-immortal, Bulgasal, who wants revenge from a woman with a mysterious past and present, who he deems responsible for his immortality and miseries from the past 600 years, hoping to free himself from his curse.","Lee Jin-wook, Nara, Lee Joon",Watch on Netflix (https://www.netflix.com/watch/81483462)
Law School,N/A,???,TV Series,2021,N/A,1h 5m,16,1,1,8,3.2K,3200,https://m.media-amazon.com/images/M/MV5BMDA1OTE1MTQtNzdjZC00MzE4LWEzZjMtYTIxZjFkM2JjZjNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2868625433/1434659607842-pgv4ql-1618578156214.mp4?Expires=1730932661&Signature=LHs9HQX3fk1FJmoWwXW1KGIf63M5I7-vmlcG03apz9j8bHdNizMxgefKuKOHOWgQ0fYy5zClR416X0jKhVDPGigraNWmN3OgRlHqK74LRhG-bL8vWef1p4aXgTkpFaOxqkv8pRo0w0HQR39ZJrW89bBtWIUhCPFjE5CgJrdtUWNHgPHni6DAT6v2AYrq-vD05enKwjxeblfLxjA2XXZA1qwbcHwcTan-nfRvc3gMOPOrBoXvW5FuJZyPGrCBOQM~XUPFVxx2px0ie8ZZGZNIAg59iobxeo7bsNbZ1NaJt1woIqSevRayFRblSCBDES5zF9Xn4W6pqessYH7rKXRKvw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Legal Drama, Crime, Drama, Mystery","When a grim incident occurs at their prestigious school, justice through law is put to a test by a tough law professor and his ambitious students.","Kim Myung-min, Kim Bum, Ryu Hye-young",Watch on Netflix (https://www.netflix.com/watch/81413647)
Mystic Pop-up Bar,Ssanggabpocha,????,TV Series,2020,N/A,1h 10m,12,1,1,8,3.2K,3200,https://m.media-amazon.com/images/M/MV5BMGQxZWRkYTAtMDk5OC00ZmJmLWFlZDktYWNhMDZkMjdjM2IxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi795066905/1434659607842-pgv4ql-1661473357876.mp4?Expires=1730935142&Signature=XijL5JATm~MKQQI0cW50TwQA5wlwwTl2J3LW40cxfxUXLmfASbFTT9Nwe2gzfEL~hFH6y-JKS1fIlXGQRDldsuOxf-hbr-~~d~qxSoHZI2As8D4CMxW2fzkeq-G4GAGUeotQHhqanCVTFeyEf63F6t0RHVABbW5fRk9BzpwPJdwsdOyHIiH3ugxMn3hxu9xlU-0PswgTadL29R8uX1R-xiCIDVjIPIc45NaMrkqXodft6o3khHGnjDmZpUjsGazqEMvqsnsH99r4U2YVQQQx0SNTG0rR8qMiTn5VRGoV7qBncXkTaiV9dQpE23Ky36JVOnBzQBUO4hUlvGKFsTuz9w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Fantasy, Mystery",A young man with an unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.,"Hwang Jeong-eum, Yook Sung-jae, Choi Won-young",Watch on Netflix (https://www.netflix.com/watch/81264882)
Are You Human Too?,Neodo Inganini,?? ????,TV Series,2018,N/A,35m,36,1,1,7.9,3.2K,3200,https://m.media-amazon.com/images/M/MV5BYzc2N2Y2NGMtZTFkYy00ZTk4LTkxNzktMDJkOTUwNjFlODhiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Comedy, Drama, Romance, Sci-Fi","A young heir falls into a coma after being brutally assaulted. However, his mother is determined to keep him in the race for the family fortune and creates a robot to replace him.","Seo Kang-joon, Gong Seung-yeon, Kim Sung-ryung",N/A
The Great Doctor,Shinui,??,TV Series,2012,N/A,1h,24,1,1,7.9,3.2K,3200,https://m.media-amazon.com/images/M/MV5BNGZlMzY0NTgtNjVhOS00NGVjLTlkOWEtOWY0ZDRhOTExOWE0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Drama, Fantasy, History, Romance","When the queen-to-be of medieval Korea is badly wounded, Captain Choi Young uses a wormhole to ""heaven,"" which is actually 21st-century South Korea, to bring back the spoiled Dr. Yoo Eun-Soo who becomes a pawn in a game of human chess.","Lee Min-ho, Kim Hee-seon, Yoon Kyun-sang",N/A
Revenant,Akgwi,??,TV Series,2023,N/A,1h,12,1,1,7.9,3.2K,3200,https://m.media-amazon.com/images/M/MV5BODY2ODI3NjUtMGI3MC00Mzk0LTg1NGQtNmMwZmExZDJlZjI2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Korean Drama, Supernatural Horror, Drama, Fantasy, Horror, Mystery, Thriller","Ku San Young works and studies at night to become a public officer. After receiving a relic from her dead father mysterious deaths take place around her, and she finds herself slowly changing.","Hong Kyung, Kim Tae-ri, Oh Jung-se",Watch on Hulu (http://www.hulu.com?d=Amazon)
My First First Love,N/A,???? ?????,TV Series,2019,N/A,50m,16,2,1,7.4,3.2K,3200,https://m.media-amazon.com/images/M/MV5BMTM5MDE4NTgtNjQyMC00ZTY1LTk3ODItOGMzYTU3YmFmNDQzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3976379417/1434659607842-pgv4ql-1563197855038.mp4?Expires=1730936403&Signature=Hg1NT6ZpXJhtfQot3NlrpWElKrme7rT4p821NSA6yJRRfRSRzUbZhu6ozB6sMcBFjE~kNuhJP5SHChhtCUZdtCPTtTZZUW3RCkDlgBVOK1BlViQmnqK0evvaUEVgbCKGgG341DgYtWcfewqcZmmT1-l2pP05GblqjVn4FAiiQYjBRByzRHzfNf1GCy~9ozXtvzg-yZ5~Bo5ZmcsdDVroKjIPKm~sXQJFnn975r5Sj0t3jn--iuFkjpeY13QkD0q5bVL2hdPb~hMGgRyKDa6jo8PM5K6EUlKof2~33gOOFlIPhPNvRo~5kbJBq2621FNRhQcDgVoocAe4gYpZnJFeaw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance",The story of college students and their realization of first love as they make new friends.,"Ji Soo, Kang Tae-oh, Jung Chae-yeon",Watch on Netflix (https://www.netflix.com/watch/81026700)
Thirty Nine,Thirty-Nine,"??, ??",TV Series,2022,N/A,1h,12,1,1,7.7,3.1K,3100,https://m.media-amazon.com/images/M/MV5BZjI3MzYxNjMtYjMxZi00Mjc4LWJjMjktZmUxYmE3YzQyOGY2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi822788889/1434659607842-pgv4ql-1644239216493.mp4?Expires=1730939994&Signature=V0bYv-85glK19miMs4rCiKPuZZ~SkfwqoJNNnstS5TULruhYLMzu3gUekB08z1To74QmpQdCVxMJhTIO~WizmL00ymkmJEGwcnKKcf6pbx144NGRkkSTFifAI5lge4-lsnDJ0Sl9k0d-nppZA4dfhJ~XPX~3wRY4WLO42qGI5scVFEaOJB7hko6apn-adkewq5Aod1xJeklmijDly34K7lKQzJVNKYQ7~uCGSqAMTDzxpP4EgP9LnFJyY318yMz7~-GfptQ9Sa4oKy4uJqC7Z6krXTcf8LYcrv6FypKpMWuSRjOECPGb4PTaVOoLHrPr-W72PmzYuphkPXByqhirYg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","Three rounding almost the 40 year old mark, will juggle life, work and relationships.","Jeon Mi-do, Kim Ji-Hyeon, Yeon Woo-jin",Watch on Netflix (https://www.netflix.com/watch/81568400)
Rooftop Prince,Ok-tab-bang Wang-se-ja,??? ???,TV Series,2012,N/A,1h 5m,20,1,1,7.7,3.1K,3100,https://m.media-amazon.com/images/M/MV5BMzA3ZmI3NGQtYWE3Yy00NmRhLWEwZDUtMmFjN2I5ODc4NzcwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Comedy, Fantasy, Romance","Crown Prince Lee Gak transports 300 years into the future following the death of his wife; in 21st century Seoul, he meets Joo Se-Na, a woman with an uncanny resemblance to the deceased princess.","Choi Woo-sik, Han Ji-min, Lee Tae-ri",N/A
Behind Your Touch,Hibhage,???,TV Series,2023,TV-MA,1h,16,1,1,7.4,3.1K,3100,https://m.media-amazon.com/images/M/MV5BODQ0YzBlNDItYmU2OS00MDJmLWIwMmUtNDQyM2E1NzRhYWE1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi2459420441/1434659607842-pgv4ql-1689943495195.mp4?Expires=1730932368&Signature=txPSp~pjahb~61NJYu8ikZWKxX5rGSaXzLkRE3PaThGwz8JBs9hSF4g3EQm5GylenUv0MAjLDgggoj72T1AK9bT1OSARYIwD14n-nVETpTEF5OsBUOnTgLmQbY5q9BOviz7YhHeKiOwM2MKy2zOByYWZfDOjqs64SLBvXH8iGIDPAYow3Pc~nrhAXPO7Qk2VmxZTLblHE3ozjynDSXkOsQc-0w4BtMiX7E3Be341pZqLcqI6zTjyp9ynFHwpm0Za5OrP0SGyzhiO2fd2B8cOsl4rfrszy7Pi0QC0ZSOM82WYj~ZCUnq8FJZl97wyRuIZshQ3I2qfUgSce-zVjCfxfQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Supernatural Fantasy, Suspense Mystery, Comedy, Crime, Drama, Fantasy, Mystery, Romance, Thriller","A veterinarian with psychic powers, and a hot-blooded detective who fall in love with each other while solving minor crime cases in a small town in Mujin, Chungcheong-do.","Han Ji-min, Lee Min-ki, Suho",Watch on Netflix (https://www.netflix.com/watch/81669777)
The Queen's Umbrella,Syurup,??,TV Series,2022,N/A,1h,16,1,1,8.5,3K,3000,https://m.media-amazon.com/images/M/MV5BOTljZGYxMjItNTNhNy00ZDRiLWFkNTktMGZjYmE1M2Y3NzMzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3176120857/1434659607842-pgv4ql-1664892102883.mp4?Expires=1730938868&Signature=ns1AmRoY-viXDkEocvlDGNIhT8eaeMURWBfpGZPhPpj6r1qQ1gA4wcj9D6BGSeMGcvAvRLhSjQNnb3kX9mYDod1qk4eVCKBlQNoT22qKyxeMohxfvkgNw7j9AsLm4iOYrDDz-80xaDV~kPhWCmy4oVLzzBFXNcpHwoyubWHk8x5RHzv-mrYOxTnAak94OiT9W5vzVPvRtAy7plPYv4uxdOJuYvtiXnLZNJZhahJLv-s2YeYKqr16QGqBGFovPmKOE6m~vYgJoBS7fjjRdW-75~1OAUOQbs4nWV6qSdtpU6ez-82Rdt9lcnm4SPvFcYRoQgvoJ0u6B~qIIHB20l2X1Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama","Im Hwa Ryeong, a prickly, sensitive and hot-tempered queen, tries to turn her trouble making princes into proper crown princes.","Kim Hye-su, Moon Sang-min, Chani",Watch on Netflix (https://www.netflix.com/watch/81610893)
Mad for Each Other,Yi Guyeokui Michin X,? ??? ?? X,TV Series,2021,N/A,30m,13,1,1,7.9,3K,3000,https://m.media-amazon.com/images/M/MV5BNzM1YmYwMjgtMDk3Ny00YjdmLTgwMjgtOWI3NTg1MGIwZDllXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3131490841/1434659607842-pgv4ql-1650114149995.mp4?Expires=1730939417&Signature=BGtaHO6ODZqCGVe6avGrstcazsnbr8DbzwLWwSKK5rNk1hdEjogbuXgLCx~jEn~tm7v82GVWsVlRcvdbLUxo0DZQ3-qzfRrY7P4K5eA-1l7DxdYmusDG5LwFuCXuYSEtGIWEbuKp3nptqEnM6K8r2o9qMOZHJKGzLwtdSbOKfsvU-vlOKGH4KRJcI5BG1IGF1nsn7fNH-vw9R1tGlaICOGHA5mzrYVSzsamKGFf0vCswkiS54TTG3NSbI5UlL~4tS4~PDYIQdFEaZpx9XfG-DCqHQ8BOXx0j0MUGEXMFPKdTfx3fEt1tCR4wMQg84r8XS6LEApHpQ8mx-TJgWwIX5w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama, Romance","Bothered to realize they are next-door neighbors and share a psychiatrist, a man and a woman find it's impossible to stay out of each other's way.","Jung Woo, Oh Yeon-Seo, Lee Gyu-Hyun",Watch on Netflix (https://www.netflix.com/watch/81430301)
Age of Youth,Cheongchunsidae,????,TV Series,2016-2017,TV-14,1h,26,1,2,8.2,2.9K,2900,https://m.media-amazon.com/images/M/MV5BYTU0YTFmMmItYmFkMi00NGI0LThjMGUtYzlmMzZlY2FjMDQ2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,N/A,"Korean Drama, Comedy, Drama, Romance","Five college students, from different walks of life end up living together in a fictional house share called Belle Epoque.","Han Seung-Yeon, Han Ye-ri, Park Eun-bin",Watch on Netflix (https://www.netflix.com/watch/80128686)
Yumi's Cells,Yumieui Sepodeul,??? ???,TV Series,2021,TV-PG,1h 10m,28,1,2,8.1,2.9K,2900,https://m.media-amazon.com/images/M/MV5BYmU0ZDFjODMtNmJhNi00NmUzLThmZjMtNTAwMWExOGFjZGU0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,https://imdb-video.media-imdb.com/vi3885482777/1434659607842-pgv4ql-1633689796586.mp4?Expires=1730932211&Signature=M7QzeqV99ix0a8QumiH~xoAZaICxkfpX4jPFDdypuJVKXgPJxyvIT0pkeG9qGrMTiA~2yna4Yqn4vGXcjdIc32RAA7oBRv0p3B2vHU7-Ipw1sKNEi~E013-BgqmMAOacLgHb-DFymzDlUixt4mQ1Z5-kh7wud4ICg~omubu-vOC47SLpEAA2xbS9Ua51yx7uSmHzny294FOiGBCLRH6PtTEZxWZZSU8ZE6NzMI6FzUSPT-PACpyOpOGbnEscVhpC7niD6GYB7D2UIK6Kt1fgSIS31nK6qKuVZGdhJgATmNpBv1cUg17KCNiYBG3PA40kyo91Kx0BPi~buI2v7NslRA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance","The story of an ordinary office worker named Yumi-from the point of view of the many brain cells in her head controlling her every thought, feeling, and action.","Dong Gun Lee, Jae-Jeong Song, Kim Go-eun",N/A
