Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
Love in the Moonlight,Gooreumi Geurin Dalbit,TV Series,2016,N/A,1h,18,1,N/A,7.8,4.5K,https://www.imdb.com/title/tt5575678/mediaviewer/rm2000357632/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1811333913/1434659607842-pgv4ql-1635935589858.mp4?Expires=1730703374&Signature=u0snrO33jKbZ7eNQ3KTG0~ig1oMUnn4~Z9h4iebV44AU0uIVOfssY8KP26AonmozLATI1LdGVmEjJXJHVYuw9mGrauHcE6WmmnOEAV86-oiEY41jVnLV1NIlbBHfpz7SiSQuQY8t6W0sGa4GuemnxyaL-68KiCbIDGne4rt8PJ1W3CIk19Gf8nGO~Pm1o6xFOlZTBrYn3OXNbTUp080FqbSPiK4W~9dI3UPhH7mxZcdQ9Pa7YqIlHVQtyZeBg2PGNkLzk8wYHTWX7Z0IcVIc1Ga1pe3F9G1ZFVed2~WkZGEUQUwJy66ekxYWm8l58M7EE7Bdi4f2I19soj0rq8X-1g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Costume Drama, Period Drama, Romantic Comedy, Comedy, Drama, History, Romance",The unlikely love story between a crown prince and his eunuch.,"Park Bo-gum, Kim Yoo-jung, Kwak Dong-yeon",
SKY Castle,SKY kaeseul,TV Series,2018-2019,N/A,1h 15m,20,N/A,2,8.5,4.4K,https://www.imdb.com/title/tt9151274/mediaviewer/rm202272001/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2794242841/1434659607842-pgv4ql-1635240777318.mp4?Expires=1730738021&Signature=J1gZK6-RvaAQ4E11kRkuSbSnuudz1cty~qfgsIuaCGvGpXm4nAjE4apZCZNGItPFg17b01uap9i5S9voX2FOoAO6ntW6BUSCOYswEw4V3hTUqvA-LfCSSgNFV8mMF3FLIhP98W--en9A8njWE6ek94WLEmKxBCbWwNoH9bWkKWug3y~UaJGwwxV9ck74aw4CkiGEsbKZsi6yfVBslMNQk0GzqJcg5A7CvKfetXelrGjPe-vKbOH-NV9Vj4LfvTpu62LYQMo1trh7PNlCAz3orrNsD3XZ8JvUrMlg6LLsDXGUequjp~5pVuwvAkgRdo3Gy24m0hrPxNI2VRnDNesCgA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Mystery",A satirical drama that closely looks at the materialistic desires of upper-class parents in South Korea and how they ruthlessly secure the successes of their families at the cost of destroying others' lives.,"Yum Jung-ah, Jeong Jun-ho, Lee Tae-ran",Watch on Netflix (https://www.netflix.com/watch/81030062)
Doctor Slump,Dakteoseulleompeu,TV Series,2024,TV-14,1h,16,1,N/A,7.5,4.4K,https://www.imdb.com/title/tt27135274/mediaviewer/rm781273345/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3932342041/1434659607842-pgv4ql-1704891871430.mp4?Expires=1730700484&Signature=K3dL9JtlJjGBLJ3s3x~~AiGSlVLSzCAB2f4nfmmjALBUMXfdqcWz1ULYAf5YnNdpugWBHqdRslB9c2SNQBA3GAanR8yeDTvXHtljjqwKr4Kjq80aRzAAVbrwr3JNFdVTZCZpUguE35qD0nEKyqZNC9hyybZyrA255l3Dn4nJMzWdBpGr8dwBwkhwXInqahtItl2J53R-Epeun-V5tHqgZr207l13L9oJrc3AVBHYJyLsSVpiYANs8EDAG6KeIVqe7CtyD83kp-14boQtUBFaYyqgwpwFB4daj3SaRRVkBPe2kkjCUUL3w~pRd8RrSQeMGuB-dF3QgwFbDKco4YwhiQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance","Once rivals in school, two brilliant doctors reunite by chance - each facing life's worst slump and unexpectedly finding solace in each other.","Park Hyung-sik, Park Shin-hye, Yoon Park",Watch on Netflix (https://www.netflix.com/watch/81697985)
Forecasting Love and Weather,Gisangcheong Saramdeul: Sanaeyeonae Janhoksa Pyeon,TV Series,2022,N/A,1h,16,N/A,N/A,7.1,4.3K,https://www.imdb.com/title/tt15140592/mediaviewer/rm4092715009/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1813889817/1434659607842-pgv4ql-1643376189311.mp4?Expires=1730738429&Signature=T3ofoSA9pmQKKQylMK-~nhL2FmUw-IbwG5sx1nj9DIBurBSpCmPfVwxU~uwyjnCOkPPPoj-CNhu1P787bch~1Cb02xEpvuXCCohgBRgDAslDTJbtTo4sIoR1igLg6Ua2bDJzPJcB4c5dWjmmdqHqTVF6EvR11Nf4ZqQ5RvUxqepuDzxs7mW40DT0UwOGOCISOr57eqQDP-HBXpW11UYQtuffujAI7LeedvGOg1Y3dYosHemonCST7T77R4FKE1AynD-5MqCAbI06J2WsLkFulDNzGaHHpesFXzO6wm1TW3jmYsEzF2Z5Da2lhZWq6Gm4zYfdeVslWBsQ0bEIJ96hgQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance",An office melodrama that depicts work life and love life of the people working in Korea Meteorological Administration which is hotter than tropical nights and more indispensable than local heavy rains.,"Park Min-young, Song Kang, Yoon Park",Watch on Netflix (https://www.netflix.com/watch/81572781)
One Spring Night,Bombam,TV Series,2019,N/A,35m,32,1,N/A,7.9,4.2K,https://www.imdb.com/title/tt10192576/mediaviewer/rm1961714944/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4118789145/1434659607842-pgv4ql-1563455328744.mp4?Expires=1730703302&Signature=qSH6OJTh2lg6mcmXXdSjTESIZBh5buVW7MwCboO~cq3ZQlPuD5t2lubTeyT6N1eZRqWABI9-AXXlUAh6MDvBlQrAqt~zKnhqkZGYcO3obgLVjaj0hQMhXDu9ScLOoG6qjcI338OW-xaDEIlrXMyjJKDAmIgIunIazaLWUNQXPO5qIURx9WfL2fkyMDHu4PkI5CWQEmlTPbQTV4r~ZPftxYJDA6~fDaf4zlcEO114J8NF4TgTb~pw5XutVjAnrTVN1x-TEkvfg5PwpkeFTNCmTm1HpNdBBqP2OwNXvidq5rQVgkTHIbpdKVsuYC1qohdPtBE6UAjThywy8H7MG~wN4w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance","A couple in their 30s has dated for many years. When they begin to discuss marriage, they begin to look upon their relationship in a different light.","Jung Hae-in, Han Ji-min, Kim Jun-han",Watch on Netflix (https://www.netflix.com/watch/81094069)
Uncontrollably Fond,Hamburo Aeteuthage,TV Series,2016,TV-14,1h,20,1,N/A,7.8,4.2K,https://www.imdb.com/title/tt5764282/mediaviewer/rm1983104257/?ref_=tt_ov_i,N/A,"Comedy, Drama, Romance","The memory of their painful breakup still fresh in their minds, two former lovers reunite years later as a top actor and a documentary producer.","Kim Woo-bin, Bae Suzy, Lim Ju-hwan",
Angel's Last Mission: Love,"Dan, Hanaui Sarang",TV Series,2019,TV-Y7,35m,32,1,N/A,7.7,4.1K,https://www.imdb.com/title/tt10160592/mediaviewer/rm1743611136/?ref_=tt_ov_i,N/A,"Comedy, Drama, Fantasy, Romance","Dan is a care-free angel who always gets into trouble. In order to return to heaven, he is tasked with a mission to find true love for a cold and single-minded ballerina Lee Yun Seo, but ends up falling for her himself.","Shin Hye-sun, Kim Myung-soo, Lee Dong-geon",
The Queen's Umbrella,Syurup,TV Series,2022,N/A,1h,16,N/A,N/A,8.5,3K,https://www.imdb.com/title/tt22265394/mediaviewer/rm1798308609/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3176120857/1434659607842-pgv4ql-1664892102883.mp4?Expires=1730736771&Signature=KCQUcuwV4KwxK4opHExUZaE1zqSYfala4T5MMcNZJZhkR-jxrILBsOq6tVAh-~U5dlv85~QWkLCIbiezb2kdO9x8dRhkjLJJPyagSj8niMtjdXfl2k~ZLG8j8xnE0C8gTByQck2hktninki86iJr6D3MQuLv2z8llghGq2HKDXvJIJI6o3GlEYNMizgH741ZBfRvloKftwQiz8425WwTgMf~~Us8tAK7ULAj36EnoC8Kn5uhcyTFZrFiE0FfHiZX13pvYmt3YlZUEexvtaY9vFK0Vi26OJ9q8oIZx-gUbZtDqAW3FYBQgt06h8TB40W~zY8bI0-DfApQWhK8F-BccA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama","Im Hwa Ryeong, a prickly, sensitive and hot-tempered queen, tries to turn her trouble making princes into proper crown princes.","Kim Hye-su, Moon Sang-min, Chani",Watch on Netflix (https://www.netflix.com/watch/81610893)
It's Okay to Not Be Okay,Saikojiman Gwaenchanha,TV Series,2020,TV-MA,1h 20m,16,1,N/A,8.6,38K,https://www.imdb.com/title/tt12451520/mediaviewer/rm2797253889/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1947319833/1434659607842-pgv4ql-1592917357878.mp4?Expires=1730700577&Signature=FxKA~cpWwbweNZZCp9InGHx61TYPCmvwoL-1TYMXQzxwkaPveeBI~y2vvmW6dCjQ05QfHPjg1wevkxp0xd1qK0jlw0sIzyRfSz1jVkRfCXVAA9MDd7c-RxoWW6P7njBp6q2j-ksyHu2CPudoD0yJzF4XbiaePkv0CVyWR5IM-AdseHNOAcMldW3Nyi8vpg6QBhBGCmwivumX51CbiZMfcQK20~mAgDOM3giERJv6A82YHPARl4~sUVh-nfWwbK4g4oVXwZr37KaiiZW6rVLl-wvjB5iqladb72i9BK3zw8LTZMencNjoIvduhqgYZBMsk3LmTD~378TvdJPyBCHipg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Psychological Drama, Comedy, Drama, Romance",An extraordinary road to emotional healing opens up for an selfish antisocial children's-book writer and a selfless psych-ward caretaker when they cross paths.,"Kim Soo-hyun, Seo Ye-ji, Oh Jung-se",Watch on Netflix (https://www.netflix.com/watch/81243992)
Sweet Home,Seuwiteuhom,TV Series,2020-2024,TV-MA,52m,26,3,3,7.2,35K,https://www.imdb.com/title/tt11612120/mediaviewer/rm1334268929/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2822555161/1434659607842-pgv4ql-1718984091638.mp4?Expires=1730700957&Signature=cj~1XDI8U1-Q5nuojMhAHlm1YhdVGjdVW5OfQaa7DCjjR8k5hFcyQal5wzx-GAKAaFr8Rls8Lqm9ipcedfbqHivzovk~InOvKKUPo-nQfcqqYXIz4hEp0eRUBOXdRzMkGq7cb3aUfOYBPUi~Q4f5gDb6ChfRQ1oc5xvN5WLeW4U46TnmJgSfji9jf8y0t2yEfz5DofXEQfxcjIIZs865JBb5MidCHS9hC6-sZg0wQcKXnQqIrHUpLZGF8eLaaFot5mfSXh9K6gsdHu85LBrOOBwKvbyHXBetKQCI89eJJRzLNxff4nATuBBHeoHuivypBdGJ4bw0-8Jls00YK44~cQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Monster Horror, Splatter Horror, Supernatural Fantasy, Supernatural Horror, Survival, Teen Horror, Drama, Fantasy, Horror","Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what ...Read all","Song Kang, Lee Jin-wook, Lee Si-young",Watch on Netflix (https://www.netflix.com/watch/81061734)
My Name,Mai Neim,TV Series,2021,TV-MA,50m,8,1,N/A,7.8,35K,https://www.imdb.com/title/tt12940504/mediaviewer/rm4282576641/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi162251545/1434659607842-pgv4ql-1632824829925.mp4?Expires=1730700701&Signature=fEiaPD8hhdetTaotpLRPi-GXt3QJa2nqFnW6qVxrVY3EWuj~aagQuPjXaCDbp92tgE9dt2ozollCyfKFt3Hc6zAApgN0BSRHCzCmtprj8iHRaJ~y39ylFMGMAng0byBVDRZBubh38J4albm6R~rajAgJGtmzSG7E7gfe2skFFrLj9Rc3hNELD7cyjmYevhZ25gcCDlcZKUysM~dEctCRp2NAFMkcTZwZUAFFVOJGT7iU76rIbf3HpjUgZjM8M1JN-qo1ebPYLwugcpTPKt7h1qxg2vk54jtCM8BbIeecA8FblyGHTz7jN5PWl07DpVeqEjpkTEqYI5hRP582-p6FWw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Suspense Mystery, Action, Crime, Drama, Mystery, Thriller",The story about a woman who joins an organized crime ring and infiltrates the police as an undercover agent in order to find out the truth about her father's death.,"Han So-hee, Park Hee-soon, Kim Sang-ho",Watch on Netflix (https://www.netflix.com/watch/81011211)
The Glory,Deo geullori,TV Series,2022-2023,TV-MA,50m,16,1,2,8.1,32K,https://www.imdb.com/title/tt21344706/mediaviewer/rm2685614849/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2913911833/1434659607842-pgv4ql-1677161432413.mp4?Expires=1730700913&Signature=udd3Q-myQGy2QOLIv6GSFISNNLY1PgSVEoffN~YSMFyHKB~oDTAs7qTYjOVlxA36Rh66ChpM2W0KiapJy2PDjTG96LvezQTlnesd8NccMq4iXXOfZXse~xUlJynrPaOGKLGzlP44UfFXWvwnvjHWNjEbT3KlRTxaLIZIwUkFMmAVRgYkTL69py84vL7~PJCBjFaMKPTDQbCcSotL0JnRZtthQCZZZ3IG4gf7~~34vC7yX6~7L0-sSmybrR46AzTmCNnqlgNSx9-5~CAWZ3iXoIiAgWujZAirjqBWe9cJEkFym0clXx3UpdwsPf1R1Pf8JecafdPrMZUCb4cISXBSGA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Psychological Drama, Drama, Mystery, Thriller",A woman lives for absolute revenge against her childhood bullies who destroyed her life.,"Song Hye-kyo, Lee Do-hyun, Lim Ji-yeon",Watch on Netflix (https://www.netflix.com/watch/81519223)
Vincenzo,Binsenjo,TV Series,2021,N/A,1h 20m,21,1,N/A,8.4,31K,https://www.imdb.com/title/tt13433812/mediaviewer/rm634964737/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3747397913/1434659607842-pgv4ql-1612962189631.mp4?Expires=1730700540&Signature=Nd3lVANWzr8fIOD3eCc7qnXYIz254e~pqEq8ClxYbF7J9Rfo3LWGKy0opugv5ZwxcCGpNQKulObiJ~fEmJMKQAMfEMm5X5pPK6PPilpE8tFTNJ9s90gMAGPMYtjM3UjHOrMnWwZAqMXmwBdC52LvXD2bOVbrFadJ0HdVNwSjqr52H2CfS6RW862JZKMJ6wKud8NBl~rqGDywYwrqgQ1Eod0ddYgPlfkcrghlA-4hjX2FPFm0DRe97js0bUjP7vf3IRFAd~0XO~eNUQ8qz~fQ1qWjB-pC2nYIlvvWiG73FWmgwhPKpMXIh91CdQ50FkDX9cKRy3hEjdgwpE0pGvCujA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Comedy, Crime, Drama","During a visit to his motherland, a Korean-Italian Mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.","Song Joong-ki, Jeon Yeo-been, Taecyeon",Watch on Netflix (https://www.netflix.com/watch/81365087)
Guardian: The Lonely and Great God,Sseul-sseul-ha-go cha-ran-ha-sin-do-ggae-bi,TV Series,2016-2017,TV-14,2h,16,1,2,8.6,30K,https://www.imdb.com/title/tt5994364/mediaviewer/rm1343882240/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1955250457/1434659607842-pgv4ql-1602258066805.mp4?Expires=1730699944&Signature=nep7wXnlf9cmRmhs7k5KwR6rAc9q-B5L8W3NNcrBLPgbGU2Cctu7QXIqLnGBqnWEIzHZZ15qQMdlCdq9zigDLAhofwiwQli-QLXMU3ViWGVkVz9LbQN8Wk7sn2rWKpmdXsjLnXYHOuPkeY3FpIR6Msq7dwCeGEtHvo65ULr85WXkol7Jfru4oDqhx2BR0a1d6fDHT7r~IH6Tt8l1hWG86XKp6pYKl~bQ1RZxkhYg0AqLXnmISwS76x9ldVuIn4E3g7e-WdnM~C8RkZpWZa5vXnoFeuHX6AIo18zUnXVtTnUScjBUmmeYe4hyWI55-p5-sWPVqz~LMgme7EnzeH6nLw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Fantasy, Romance","In his quest for a bride to break his immortal curse, Dokkaebi, a 939-year-old guardian of souls, meets a grim reaper and a sprightly student with a tragic past.","Gong Yoo, Kim Go-eun, Lee Dong-wook",
Extraordinary Attorney Woo,Isanghan byeonhosa Woo Young-woo,TV Series,2022,TV-14,1h 15m,16,1,N/A,8.6,30K,https://www.imdb.com/title/tt20869502/mediaviewer/rm3484751361/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi298041881/1434659607842-pgv4ql-1656071497126.mp4?Expires=1730700699&Signature=PUwGdH18qmKZ8F608mvaF-9e-gknLpweOXbALqO5DfrAjXRYMjrx6DFCPO8yKEw-RxzVTIMOV3V2pKm2QG1vKDwapcMHzrOGBgY3NCLzu-ggErP~UloFfmYsyFEXl5i207hbEtZTBEQFpbGfDcR4AZp6~JVfdxLVnmV4Wr55o9tnfyBQZYRLBHHoP2IIwqHspgc7QXkvtSh-6VTcyjHjkJ3wlrWa3dHQjbdJ5SlMGRZWm77eSteFGHuCaiTHISTO1U~UcJkqokjIdVIxxb7abZIbOLJNdHUjkRl3xRVldcgcYODUJVfX7QcbJUgplL3JxdbVW5xx9Mabxs~VuXWALQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Legal Drama, Drama","Follows the brilliant attorney Woo Young-woo, who tackles challenges in and out of the courtroom as a rookie at a prominent law firm and a woman on the autism spectrum.","Park Eun-bin, Kang Tae-oh, Kang Ki-young",Watch on Netflix (https://www.netflix.com/watch/81518991)
My Holo Love,N/A,TV Mini Series,2020,TV-14,55m,12,N/A,N/A,7.6,3.9K,https://www.imdb.com/title/tt11058644/mediaviewer/rm2496300289/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi490782489/1434659607842-pgv4ql-1581166928447.mp4?Expires=1730737836&Signature=I~Ks-sq4FgAOt3trxp5h1Co4Bdm3XDroBVN4XptC-Nn5787lGCBAqOxLZQLYF4Ib0~qCJe9ALGZkTxqeD4MvFqosPG0IsMSHYlF3X3fbP6JPDbmAMDN0XCJWBWVUdHDQTL-2tYgNEhbZS5qsO08V-VQKweK87zV3P1OPd5v6Qvfx7x~6ZtN0pz2pExecSccxaTuqHBHmh1FBhPH5ISTciwWFRIAoE6edIAqayj3thLqs2dLvuasza74r~fcXzxd6cXxL4D-7us3dK2qKiU6unsAgiwOZqXt0~CPJyb5Smz0phQ2TijLhFVk6utYuwBTQSocjrkX4VJEZC2VT51V1XA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Artificial Intelligence, Drama, Romance, Sci-Fi",A successful woman has inability to recognize faces and this interferes with her social life.,"Lee Jeong-eun, Dahlia Salem, Ko Sung-hee",Watch on Netflix (https://www.netflix.com/watch/81008021)
Abyss,Eobiseu,TV Series,2019,TV-14,1h,16,N/A,N/A,7.1,3.9K,https://www.imdb.com/title/tt10055734/mediaviewer/rm2314757376/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1581038617/1434659607842-pgv4ql-1560603787273.mp4?Expires=1730737380&Signature=BOagh80oJ5w3NCVSo-eHvEYft3SPxmyc1Wpl-cLNTuJQzoRIxhkWOsj15LrK0X016nVIVW14ol0LHITLFWtuDmijd3D69iyNYSYzgINwpJPu3fygs0FoZvwT6c4WlB6lhssWvSsE57UiyeTzNBMlE-uDq-MypEVSb~QngY9iOcxh8~Fkow1Uey0Dw7eIpq2ypyn6C3bM4Vy6ezQ9DWDSo-mBLxZ2C4Zn3mkOJHosMVOSYVzIh0iXZWzhWcTlIgavkv40l2VIZrT7O3jFbxd86BUhhwOK7il-JezDsacBWf32Xpt9Qua85SBMsMXqx0Vry-013Ho89SaDI4OvnS5XfQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Crime, Fantasy, Romance","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they've come back to life in new bodies they don't recognize.","Park Bo-young, Ahn Hyo-seop, Lee Ji-wan",Watch on Netflix (https://www.netflix.com/watch/81087762)
100 Days My Prince,Baekilui Nanggoonnim,TV Series,2018,N/A,1h 15m,16,1,N/A,7.8,3.9K,https://www.imdb.com/title/tt8199972/mediaviewer/rm1566861825/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1662042393/1434659607842-pgv4ql-1608220875086.mp4?Expires=1730703377&Signature=amc7jrvan8l5IJ3uKHCxu67G6T1V9wDQEwr8hrrJ5~K0roeCF8ogqLkeyYVwGCZrhI5M4wFhOq6vD10j6vTZTHuR2eFjOafk6h4-EQEUf19ikVgeNpKguf8u7mcrST7A-WbYWbQ8DtJMhaad6~ncjNw1KWidJQYLCdIUUkk1Kv3M6YAVu7ZXNKoarnOU0RahJI51RMTJm7mlzfnBZMr-Pn~4S5YgbRmCmgAiMr1hjlSMb~q6eFDHCx33fKd~dIRP4Vct3sKEq0PmbaTy~p888luVnoPRELHLGXVHjWC4mf5~TnqURyrtENmE925eyPo9NSjAYEv-05f8~5HH4fOkaw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Action, Comedy, History, Romance","Upon losing his memory, a crown prince encounters a commoner's life and experiences unforgettable love as the husband to Joseon's oldest bachelorette.","Do Kyung-soo, Nam Ji-hyun, Jo Sung-ha","Watch on Netflix (https://www.netflix.com/watch/81267722), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.34944231-05ca-4e0f-b541-63c374db8684), Watch on The Roku Channel (https://therokuchannel.roku.com/details/911a2934ed4e57388996f2eba900305f)"
The World of the Married,N/A,TV Series,2020,N/A,1h 20m,16,1,N/A,7.9,3.8K,https://www.imdb.com/title/tt12042964/mediaviewer/rm4142906369/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4075208217/1434659607842-pgv4ql-1587994053286.mp4?Expires=1730703328&Signature=ImkEs9gpNLv1yNEOQFrhOHs76H7R0v~UEgUFaskzoG-InPyaubyJV-ZC2gv8D05VNl818VOT1qtId3xqwt9HiFNTeJbQpukJeKyx0w144RmIwoP1cLWafrmWQj0VFgzG~2KdPAGZkfZpHyL79NyEjQeg2SNmmUY6~sG1WTuHNYg-uIv1FOC2TGYxYj8CbP1sH9yrfKV5kwHqn3-OZISHMGla4-H9BYiMC~zilfaJ6tm6z5cCGtzB4cw6ko69gTwtwe2uZnkEZfC3BeXPSR78avzQF~7usT-H7gyHteQ1TzfACMI3hfQIXA~~Vtc57CaPqwtoeDzY-pzYPyTOQNy~3Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Drama, Romance",A story about a married couple whose betrayal of one another leads to a whirlwind of revenge.,"Kim Hee-ae, Park Hae-joon, Han So-hee",
Welcome to Waikiki,Eulachacha Waikiki,TV Series,2018-2019,N/A,1h 5m,36,2,2,8.2,3.7K,https://www.imdb.com/title/tt7890304/mediaviewer/rm362237952/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi4169319193/1434659607842-pgv4ql-1634557046580.mp4?Expires=1730703046&Signature=SRWrqN3ls47iBPwzBI4QkbHrC-706qr1gxYw-7b1-AdhpE8Yylqhx0yKDGvrHxQTLlW5nyE3mip9BP28t9gEHEfLJQFp-ONJoEeVLsQXM4FsAP7aC--0bQDtxhmKV9xUjQv6FPVRQ9J1nsyKQwAGAohYDra97ocbHauntuxvV94XOoY13cY9PBo5nwA9KflTeXDafSjIPNXqxRUqFHQnE9xwqQK~wfRckxKSSEafBD20NrISLh25vKDLjIyefOqnoRVVL0iodczSfNPEmh6qUvBtK~YesoJmTDwwzdjAx5bSRwjGty5~oGvPs2PGVOY-SL29HGs1RYXR1L7m0zjx7g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Drama","With big dreams of financing their own film project, three struggling young men join forces in a guesthouse venture that is anything but profitable.","Lee Yi-kyeong, Kim Jung-hyun, Jung In-sun",Watch on Netflix (https://www.netflix.com/watch/81229694)
Record of Youth,Chungchungirok,TV Series,2020,TV-14,1h 10m,16,1,N/A,7.2,3.7K,https://www.imdb.com/title/tt12850322/mediaviewer/rm543138561/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2579284249/1434659607842-pgv4ql-1599656545394.mp4?Expires=1730700953&Signature=pca9LTHNcg9VwQsMmfnUSBvxt5OCJO0YJ1wKGtYhbsKlHLwF39CItCLgaxYWPE8vRcWQo2nCUS~p0N9f2bfZGDy6~cya9wC1n7sBaXk9xn47nJK8m-OP4k4HrUwVbjm8QFAOP~83BhaGSyKsrZ8pSyNCq4zFpJm37wkrE1G9w3In2MxM3hjkZhzty-MTVWMh1w2v60zP8AjQ~y1O145t2~KJrJ1-EycdukESLvehgEA6lt4KXkKed08F6I2FWMwJ8hpEPEgk4lHCTvu-sMQZNnLhjfi70AvSpgrx40nw3WhnuE3gvCCZjDlpQ6LcHYfdAvuMewuQnwF5sPhGOPQAkQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Romance",Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.,"Park Bo-gum, Park So-dam, Byeon Woo-seok",Watch on Netflix (https://www.netflix.com/watch/81290301)
Still 17,Seoreunijiman yeolilgobibnida,TV Series,2018,N/A,35m,32,1,N/A,7.9,3.7K,https://www.imdb.com/title/tt8648696/mediaviewer/rm1327449088/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3817784089/1434659607842-pgv4ql-1635410407506.mp4?Expires=1730703325&Signature=IVi~qnA534VT0sCzUeh9ei5l6PwO7bLhcHQcJUyWbqKlq5Vbap0T59qh2KEw~~mTkP-S-mnUK5oy-9vkiKh2zSRjTQf-E48zXTM247JpOYUcditaZqP4K6Ul61r3U8XG8DpxwPZo0TbB8pDR-EODmmW-CLNFP3T56cBIH4bRVuJMOlwhGycXHQfEm6jVUfzv-3BzZIJuIgCwntroGdh0fnMjrpfukc0n3jgmax4BpovZsyKXjBlQezPHkZELUpMgMXUV2qI34Obw9n8JSPFsF822SFqkytDhaWYlerFx2wEeWxu-CH6Uh0BZ5oyedcl53HWYoVbCfxRQl2aHupfwcw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Comedy, Romance","After emerging from a thirteen-year coma, a woman tries to adjust to adult life and reconnect with the man she believes is responsible for her condition.","Shin Hye-sun, Yang Se-jong, Ahn Hyo-seop",
Tunnel,Teoneol,TV Series,2017,N/A,1h,16,1,N/A,8.3,3.7K,https://www.imdb.com/title/tt6356086/mediaviewer/rm2317234688/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3388523289/1434659607842-pgv4ql-1636094380973.mp4?Expires=1730703158&Signature=WpF9BVndPbTi8WmpRC6LYGze1YXqXcbYVhJPX7-E~CpnUFIrBhX1hallKfqtGWXV568V-mzuSeoYSuteuMHKU3dA-73rTat587exs~l-GY9IKsPWbc2RB3dT-YVSIvqHW-zBREWTRrAw4~xZXpT9YRDDAraEMNNfNL0SPOMn7mLIgZi~OmgWXKBV1n9rwb6~-ZiEp0AC4T0mjC4FXyaG9lRyUcQmgkpNsjBC~jZm8cQbrq7AimpMPHmTA7vY7ZPhgHJPepnrCosFlCw3lyI7nsSqloUKgNx0SiJeBhg99K4MWPt3Db2gw9sYRQ6ZTD1A1rNZ7nq~Dx2DrvEhhQGS5Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Serial Killer, Crime, Drama, Fantasy, Thriller",A detective follows the trail of a serial killer 30 years into the future and teams up with detectives in that time period to find the culprit.,"Choi Jin-hyuk, Kang Suk-won, Yoon Hyun-min","Watch on Netflix (https://www.netflix.com/watch/81142594), Watch on The Roku Channel (https://therokuchannel.roku.com/details/3803e4591e2d5a14be214f2943c3a33f)"
