Name,Original Title,Show Type,Release Year,Age Rating,Duration,Episodes,Seasons,Years,Rating,Number of Ratings,Poster Link,Trailer Link,Genres,Description,Stars,Streaming Services
Wonderful World,N/A,TV Series,2024,N/A,N/A,14,1,N/A,7.6,1.2K,https://www.imdb.com/title/tt31187621/mediaviewer/rm1386038017/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2913519129/1434659607842-pgv4ql-1709718657557.mp4?Expires=1730700537&Signature=Y2guydHl9rE8RF0ls5uarddx4zqdl~4b-25EeRhP3V60OonOgTreYslQbQZjAJNk54ArvvJubrXCbpK3c40MO9xOu-i2MXLor2PoB-3O6D9HTiudFS7UbMUD8i4ial41mgwkRQ8aBtq-24AgT-9PqZOTEh3PN~xuL6lzXn3skDAyUFolryUN~yylL-ZSFIBMxH48sUTzjxf2OcSTojX2eFlz~7ykhWMO6bQsu2IJlmjdiDVPExza2bHC4cbWIkvEYls7sHTn7XegidJK-YyR0b37SGSH2qygDxtlo8iOzMMtMBFeTJwMSr5Gms1ZR0kqdNCx23zKTcUU1~j8b2XEfQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Thriller","Psychology professor and writer Eun Soo Hyun's world shatters when her son suffers an unpunished injustice. Seeking vengeance, she unexpectedly discovers solace helping others embroiled in comparable cryptic cases.","Kim Nam-ju, Im She-mi, Cha Eun-woo",
Extracurricular,N/A,TV Series,2020,TV-MA,50m,10,1,N/A,7.6,10K,https://www.imdb.com/title/tt10262630/mediaviewer/rm4153847809/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3806379545/1434659607842-pgv4ql-1587562642282.mp4?Expires=1730701049&Signature=Sg4HhvIyjwFwG7PbFxbAz5k8UVo6GhkbpeUR0mFMe13WLgSIThlLM~Kfs3xCYGNRxjO9DdQiJK1M2wMLVG6d3RIsiinvC5rQBU9AHoWJkKXr9UvsBglUMwrvqZDYLRW1Vm-Y8Fv1k32VSiXkrscdZPSkz0CBZE~blJf0ZsVFVelpTIModzrsweDnRwtNGNXAgLi3JAAqtkwjMSTFVaah2VMP-4L24fKfPw3wsWBooT4iJjPAqw6U8XbJb1ie15C-9MWRklUqAS4s2i6924xrNQiasMwdPkT2ydHrhG0hVstqBoXAQHvtpKuQz9sUmiGWFk9KbZ3joAwuni93mqbiUA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Teen Drama, Crime, Drama",A model high school student who's steeped in a world of serious crime finds his double life upended when a classmate takes an interest in his secret.,"Kim Dong-Hee, Park Ju-hyun, Jung Da-bin",Watch on Netflix (https://www.netflix.com/watch/80990668)
The Veil,Geomeun Taeyang,TV Series,2021,N/A,1h 10m,12,1,N/A,7.6,1.3K,https://www.imdb.com/title/tt14482296/mediaviewer/rm3117219585/?ref_=tt_ov_i,N/A,"Korean Drama, Action, Crime, Drama, Mystery, Thriller","A spy investigation show with a story about a top National Intelligence Service (NIS) agent. In his endeavor to uncover the internal traitor that brought him to his downfall, he confronts a much bigger enemy behind the organization.","Min Nam-koong, Park Ha-seon, Kim Ji-eun","Watch on Hulu (http://www.hulu.com?d=Amazon), Watch on The Roku Channel (https://therokuchannel.roku.com/details/497116d24a815316b4780b147f4b96d2), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.50a9f786-e949-739c-0734-4b4816f61bd6)"
May I Help You,N/A,TV Series,2022,N/A,1h,16,1,N/A,7.6,1.1K,https://www.imdb.com/title/tt22872644/mediaviewer/rm1085540097/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3521299737/1434659607842-pgv4ql-1670954863059.mp4?Expires=1730700275&Signature=n2C7AZY2Lor516p0jntUWpVCvPys0CQWu4s4uFRhNgdm~FaqNo9S8FburG0KbqklIY3ODQ2IINuT4-OsWNvTB1P0xxCo9i4GnOS2L1we8tk3oT91NT4ZDZNHQer0S2iQ6qgA8fOVrjimiNJQ5GXzoAgSDXq8VK0EwQVpT-fvuYRGEZz-7Pj2waXBA0quF8Q75TaWd~~Vshqbv55ttBODoyy6~myOy17ma6y6GS9D3qnLO5V3xG2VZ5LTsyjgSf37Pbt65yNP1CiMPjAUdPjKlPaBByP4zd2WkHEd4OZyU3i6aRo4JamzT85PK7kiBOYTpnX6dp9COH9eKcAylrPoCw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama",Baek Dong-Joo works as a funeral director who has a supernatural power that allows her to see and talk to the dead.,"Lee Jun-young, Lee Hyeri, Ahn Hyun-ho",Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.6fe904b8-74ff-4d53-b89a-902ef55ab40f)
Hyena,N/A,TV Series,2020,N/A,1h,16,1,N/A,7.6,1.2K,https://www.imdb.com/title/tt11534164/mediaviewer/rm3304883969/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi686867225/1434659607842-pgv4ql-1635485925965.mp4?Expires=1730701061&Signature=kl8P3zfJafT0NQPxIDzKg5HC2acaywMi2A4wTcsUid7Vxwrvl6ra4jNGeeLpYmm7vHcgDFNY-5fHEheRbgr7DgTij5aEPfdpKLIt7KPKix3Qrs64EMGHpeOms0xtra1q79aWZ-Ike9f2jN5KcCdHsO0Tp0YxHCHIG~0Xd9IcCQi0agefk0tR64ow7yWwoqcNU~TSfaqEicspwZSZ1hDgHVYgyyTrxe9jqCzivSpbQ11CST7wopcYMsUMmBpxtb1E4efsnrRvumYFDrUdRBT9eG~br5bDnaY3f8qbw1Aq18hm4pT~X4WpBoDCp3wcl2-sFiEgOifYyeoxUi9LmDrZkQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Legal Drama, Drama, Romance","'Hyena' deals with very competitive, private lawyers who only work for the richest 1% of society.","Ju Ji-hoon, Kim Hye-su, Lee Kyoung-young",Watch on Netflix (https://www.netflix.com/watch/81177545)
Miraculous Brothers,Kijeokui Hyungje,TV Series,2023,TV-14,1h,16,1,N/A,7.6,777,https://www.imdb.com/title/tt27906926/mediaviewer/rm1054221825/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi799459097/1434659607842-pgv4ql-1688541553395.mp4?Expires=1730701064&Signature=i8lQdOZBa9vb79HgdHOpWZX3ObGDICFOyjC~1zwKrVgqnW33NTR-boZ8tzI5mVAQwV-DdQNOqWD7dOfomDCu8lBxiglx8jOzhw1DZoyWa5iuNHsVGCsHayK2fq0IwNWQ3Fsa1kFaO6CkD390qMegVNum81PNVmoo9h5kTityZNJ4VcsedsPmOhOZhHCEESt1ILdnQTVAsRNizTLkaLpVAIUqvPfp~t3CWnUmRFFPIp0ig6Gan-TKA2RkLl9g1oQ2eB5KYXkWwkcLuUoJt6pNfBMAV9wzqbATLPQ-ETxAiEhIEZUBCegabysjy8NKIR5hRVw4ShEp0qcMOyyD2lDSuA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Supernatural Fantasy, Drama, Fantasy, Mystery","An aspiring writer deep in debt encounters a young man with no memories and strange abilities. Together, they fight injustice and form an unlikely bond.","Jung Woo, Bae Hyun-Sung, Park Yu-rim",Watch on Netflix (https://www.netflix.com/watch/81710033)
All of Us Are Dead,Jigeum uri hakgyoneun,TV Series,2022,TV-MA,1h,13,2,N/A,7.5,72K,https://www.imdb.com/title/tt14169960/mediaviewer/rm1351868929/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3022439193/1434659607842-pgv4ql-1642120778769.mp4?Expires=1730701020&Signature=rJEXUFlydjmPQ7MwxitTYrV-PC~G~EEBtB1CFqQLv~J9pCJRjCwuAMn0NqGcWBHhUPL9ia1Un9Hu8BMyq1TgxlG-pKYSCMHAfiNTxD8l9u3ssEzM7EJ~GAUNn5V0Mpr3j-zZvzAWGSVR2Th6m0ZMMTblaKYBdLIlxBaR~-jKHoh9g7Smepa5R4DKpZRDC4~gJ9DxWMcbjDBmP76HNF0HGqmlm-RUmxWM9gAx34J8MipfKBVY~eAPUnnJSqI7xJqZ1OfXK-3kyrgv0LnNE1UZw0ha0k6pPBqrvA-ZRxq5axIPRxhSYcPahmNiCnP44AL~n-r9RdS-vsZvEbncUfGd6g__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Survival, Teen Horror, Zombie Horror, Action, Drama, Fantasy, Horror, Sci-Fi",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out or turn into one of the rabid infected.,"Park Ji-hu, Yoon Chan-young, Cho Yi-hyun",Watch on Netflix (https://www.netflix.com/watch/81237994)
Doctor Slump,Dakteoseulleompeu,TV Series,2024,TV-14,1h,16,1,N/A,7.5,4.4K,https://www.imdb.com/title/tt27135274/mediaviewer/rm781273345/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3932342041/1434659607842-pgv4ql-1704891871430.mp4?Expires=1730700484&Signature=K3dL9JtlJjGBLJ3s3x~~AiGSlVLSzCAB2f4nfmmjALBUMXfdqcWz1ULYAf5YnNdpugWBHqdRslB9c2SNQBA3GAanR8yeDTvXHtljjqwKr4Kjq80aRzAAVbrwr3JNFdVTZCZpUguE35qD0nEKyqZNC9hyybZyrA255l3Dn4nJMzWdBpGr8dwBwkhwXInqahtItl2J53R-Epeun-V5tHqgZr207l13L9oJrc3AVBHYJyLsSVpiYANs8EDAG6KeIVqe7CtyD83kp-14boQtUBFaYyqgwpwFB4daj3SaRRVkBPe2kkjCUUL3w~pRd8RrSQeMGuB-dF3QgwFbDKco4YwhiQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance","Once rivals in school, two brilliant doctors reunite by chance - each facing life's worst slump and unexpectedly finding solace in each other.","Park Hyung-sik, Park Shin-hye, Yoon Park",Watch on Netflix (https://www.netflix.com/watch/81697985)
Pyramid Game,Piramideu Geim,TV Series,2024,N/A,N/A,10,1,N/A,7.5,1.6K,https://www.imdb.com/title/tt29311421/mediaviewer/rm1041136641/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi1859503641/1434659607842-pgv4ql-1715614196060.mp4?Expires=1730700413&Signature=F0~1U-W0u-vmJ7A843GObagqQUw1j9hb644RRa2Qf76xWwO9I9eatyrXn07uMDt2rEw1YhQ79Wt8OVNwsWakCqGoPYWlk7vLQfTepSDgIrJXkuqSSAorlnLku5HoGWQFDDl~~CutPFoa7R9ngO7Jwk7q2xEB7CrfVOU9W2SP82IpFd2vqdFhcQ1rNMItGbP5JjpQEEBOWuZ7N01Dd5HnKU-VNGxrppAT98MV2bzGm5rZyMPCFbkEp64BPifQF5XH5KLsKCI51yhagNc4ZdUD--Vc2wdaNX2zX0CeNgIQLKwy6u5lK1oDkXgnjLB8vGTcn4GsX3pWcZ6QNXnaBS0kPg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Psychological Drama, Psychological Thriller, Teen Drama, Action, Drama, Thriller","Each person is graded through a popular vote against the backdrop of a girl's high school and if they receive an F grade, they become legitimate victims of school violence.","Dalgonyak, J.Q. Lee, Kim Ji-yeon",
She Would Never Know,"Sunbae, Geu Libseutik Bareujimayo",TV Series,2021,TV-14,1h 5m,16,1,2,7.5,2.3K,https://www.imdb.com/title/tt13446244/mediaviewer/rm3878475521/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3321611033/1434659607842-pgv4ql-1636371722666.mp4?Expires=1730701078&Signature=kHixR0mk7X~K-KuhsK~b7EF1S6dl4XU~vZu1hWk8rMdoCgupsjRxr17OEeUGXiWx31fkT77egtXnl7sy3lZlNyvnOAl4AOce8mLVV28Gg0oCxda4Rq26q7GqZ8kH~T2ifbvokNHltvtXYeWyGk0nvAt63lC0K~37cBQFfDv3oZFSoNOueuYujoyVcqg35ypC65UvGN45WTsf0i~b8sM0Cx67StFZCiPNuV4FsavouAgx8P8PHMxly7w35O95DJXX7z285jsG-gBfbIhw7dMTVz2ecjmacMM6kyde23e9cIf-Xc0S3Vtl1YZ0XNGwHm0EZ4kcAE5KXhH1NNtCU7WM3w__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Romance","Based on a popular 2017 Web Novel of the same name, it tells the love story between a lovely ""sunbae"" and a bold ""hoobae"".","Won Jin-ah, Kim Ro-Woon, Lee Hyun-wook","Watch on Netflix (https://www.netflix.com/watch/81394495), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.2a2e803e-cd06-422a-9a24-7ce096af1a60), Watch on Prime Video (https://www.amazon.com/gp/video/detail/amzn1.dv.gti.2a2e803e-cd06-422a-9a24-7ce096af1a60)"
The Sound of Magic,Annarasumanara,TV Series,2022,TV-14,1h 10m,6,1,N/A,7.5,5.7K,https://www.imdb.com/title/tt14460684/mediaviewer/rm1235296001/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2830025241/1434659607842-pgv4ql-1650632417420.mp4?Expires=1730701081&Signature=afd0HAyK6zTfB2NNBeePDUF6ngEi60WfL8NVzdNQ5VQ5nqPH-5V5JTDSuq-SVHM8pINqvNqmLyM7hXuiFYU5CF8Qr-i8l2Ib8YRK1PL3ydi0NSfnd0VM3exLRDr6N6BpquFKFeFgV8wNNanTHHoolf7uCJrtMff~b9enS~Q6Ifeh2V2qY3ZeOsMTnR8JWf1r6X~-tIbhh-4BD5TS2RjDFhnBhX6qUMrkPWjMuzuixzgoFW3NSTWTBcEeX7KVT1y~MXxzyj8V2VN~mTyGb24YzGg7SuYcaiCTlpkG8E8zmIXX3mieE~tOBqGeukBgtBjn7o51NdhBWKxrLtUXC-pYdw__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Teen Drama, Teen Fantasy, Drama, Fantasy, Music","When she was little, Yun Ai dreamed of becoming a magician. But in reality, she's just a high school student who can't even afford new socks. After meeting a mysterious magician at a carnival, she decides to follow her dream.","Ji Chang-wook, Hwang In-Youp, Lisa Yamada",Watch on Netflix (https://www.netflix.com/watch/81016276)
The Golden Spoon,N/A,TV Series,2022,N/A,1h 20m,16,1,N/A,7.5,1.5K,https://www.imdb.com/title/tt22248234/mediaviewer/rm812122881/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2404106777/1434659607842-pgv4ql-1664533624651.mp4?Expires=1730700200&Signature=iIgPnp1IW2lcq2uwXohOHw6b7lnBOkDTj2GKhsny877esB3I3z9C89kZ2h-TazrnvUFZB5V7Gsn4nvavhXUIlhrMfpdD0NCsXAkAR8hu1aUeAgwZY~sKoG7gLwhZ3kEcUprMU2nGeSSYsfpe3ljXzxYrgajlk8lruiydCeZsKqmISX45Tn-ZO9H5ez08Cbk9~IZK0sxYiS7XV9zN01ZPAI1HyHYhlU6lAL0v59PwYjPJGwcJY7G1nQCLAzLF68XJKnVRYaRsP5ruiCooXTv0uszA2DFSIXIWw9L5yKLEAdvui1UrIkn4~DZ-g9AMFU93nFIm1hcEce9tLVFx-x-qrQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Drama, Fantasy, Mystery, Romance",Seung Cheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend. Now he has to decide which of his two possible futures is worth keeping.,"Yook Sung-jae, Lee Jong-Won, Jung Chae-yeon",
Celebrity,Selleobeuriti,TV Series,2023,TV-MA,1h,12,1,N/A,7.4,6.1K,https://www.imdb.com/title/tt26315488/mediaviewer/rm3150063105/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi565430041/1434659607842-pgv4ql-1686840238969.mp4?Expires=1730700736&Signature=Ykyj6~bcwVJ5~LWqoWJxZ8r1-SbkFHIHrSI8TnvW4uSu~fk0ZMZnx~Da26aYcKF7h0ApdZ7g0fLX-3bVRdmI8LQpxImhNUYGgDTQJ0rWNRzANORVVL9bL0pN9fJ3ZogvNg8NAmqZ89dmtzUln1KIZgN4~hjVK9RrQhlMG92efV1sh5zm1ebpAJu5Y3BYzC10CbecYXZ7lsKvjxL~EMTgLUiaqOkVk7c9YmWMqbkzs0zN0412LKBBbLgCoT9SE5Jg7KVWCc8DBsHKeMlFtMtTMJN3d3kH-TQ2Ei-8ni0dSJyt3IbXH~OXUE9YoKmZwhisCPi0jmce~B9vipDUhu8ZCg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Conspiracy Thriller, Korean Drama, Suspense Mystery, Drama, Mystery, Thriller",Fame. Money. Power. One young woman fights to become the next hottest celebrity in the glamorous yet scandalous world of influencers in Seoul.,"Park Gyuyoung, Kang Min-hyuk, Victoria Grace",Watch on Netflix (https://www.netflix.com/watch/81361096)
Serendipity's Embrace,U-yeon-il-kka,TV Series,2024,N/A,1h 10m,8,1,N/A,7.4,887,https://www.imdb.com/title/tt32914942/mediaviewer/rm265450753/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2166277657/1434659607842-pgv4ql-1721979471277.mp4?Expires=1730701092&Signature=hLpXCv7vE13Vt-qyxZzAdEzmMZ6-IeJY5VBLjIaRNBasGDqVcMVWZVBEuiv2HKHhNqYlg5MGOEfMuF2ylYh8LtcfRoXP62CXnmv7qnjReOrBBuE3uHZo9o~bboMRFZKnENpRjCmT6duhV3wBSZ7Ps4aISNhCE~hM7duo7CgRUs8~Z4FLXvJ6Vwt1SuQLIxS9MdGEANucnp1Y4n3mv9Rh1SCAimlkVv-XF-rwK53d3EsquFqN4vhv5u6zUeD85ZW--kU2hP5PANBHMoQpILjJh~HY1vAPXR87rG6Hw1CexOeC87xJSOxqZnrrrQ85atfLAxHO2rC1MNSN643r2uoewg__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance","Animation producer Lee reunites with Hu, her high school heartbreak, a decade later. As old feelings resurface, can they give love another chance or have they drifted too far apart?","Kim So-hyun, Chae Jong-hyeop, Yoon Ji-on",
Behind Your Touch,Hibhage,TV Series,2023,TV-MA,1h,16,1,N/A,7.4,3.1K,https://www.imdb.com/title/tt26314390/mediaviewer/rm3012502785/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2459420441/1434659607842-pgv4ql-1689943495195.mp4?Expires=1730700958&Signature=i8VN6yxdXQ9tg-e3Rrml5Z-nJ1nY3Z2JVkbvS2JUtkcsPS1YqyAGQMPWigzyM2CDCgAL94o3jw5CnfLV1fEQDRcQPlaaSa7q7SOtMKSZwac4cwszet-gQQVnY9uFCPlC1WNYXx6L2UoiCHNkf9BVejO2dgg2Cp4QmqxtKq0Ae6XvcdVQUo5qwudsDTtQOwSQ9v5p~6KofSNnpDGQfkFtjb9K2h1dud5y3CcU9fvk2YU5jK-0IvzKEcz0bYLws-~2fVvymKO2lVFV1hNCDqPxcjldbRrW1QedD7QHxEcv8MkwXJ5a6ocE7~F-SNNy152k4iZkDjci5wWIEjNMH6ubFQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Supernatural Fantasy, Suspense Mystery, Comedy, Crime, Drama, Fantasy, Mystery, Romance, Thriller","A veterinarian with psychic powers, and a hot-blooded detective who fall in love with each other while solving minor crime cases in a small town in Mujin, Chungcheong-do.","Han Ji-min, Lee Min-ki, Suho",Watch on Netflix (https://www.netflix.com/watch/81669777)
School 2017,Hakgyo 2017,TV Series,2017,TV-14,N/A,16,1,N/A,7.4,2.3K,https://www.imdb.com/title/tt7020608/mediaviewer/rm3459197952/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3237724953/1434659607842-pgv4ql-1636369479633.mp4?Expires=1730701099&Signature=NkAmeSz32HowfhIKFnPgGWLJ5Vlszxpy4fXagD2N8sSIPNhVzex7nE36fimgGnNYSZKQNfLPalD4gPO07qK6U1F4kcRQLY5akaR2Ig33N8-2ll15k~GEl0To0FWhfYLlLQ5WY1DvJfUXv5l3vh8Cx4VE0LGYU-zuNqDtLyBUF4W~GJcddYZ-h2BE--uIjzfDZOFi6W~eOD8~gqKIwVlHWmjJsYbpasaoBBq8q-W9HXhvUAVDDqzID3YgHP7g9DWRkt9GafZeFGfkeTN7NJgAx8nC~sOZH-NcYNkPcouuiw4-SCu1OinUuRa9-~ALazhbSMH2VWSO2E4O8Z8HtLtE7Q__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Coming-of-Age, Korean Drama, Comedy, Drama, Mystery, Romance",The story of 18-year old students who have to battle the discrimination at their school in order to have a future.,"Kim Sejeong, Kim Jung-hyun, Jang Dong-yoon",
Tomorrow with You,Naeil Geudaewa,TV Series,2017,TV-14,1h,16,1,N/A,7.4,1.4K,https://www.imdb.com/title/tt5994346/mediaviewer/rm2364684544/?ref_=tt_ov_i,N/A,"Korean Drama, Drama, Fantasy, Romance","The drama tells the story of Yoo So-joon, who can travel through time by a subway. After seeing his future-self living miserably, Joon decides to marry Ma Rin in order to avoid that fate. As time passes, he learns to love her selflessly.","Lee Je-hoon, Shin Min-a, Jo Han-chul",Watch on The Roku Channel (https://therokuchannel.roku.com/details/66e0885d68ad54d6a127ba76e9d33dd4)
The Law Cafe,N/A,TV Series,2022,N/A,1h 8m,16,1,N/A,7.4,1.2K,https://www.imdb.com/title/tt21827042/mediaviewer/rm4049994241/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3664560665/1434659607842-pgv4ql-1662108798838.mp4?Expires=1730700694&Signature=L0c6hEjMoK2jlIacdDDKZA3xfjI5tHhEqe4w-Xffydu-aZ-nlx0Xq22inOXnd6Paegydd8cfl1f4hZ10eoGKdIrhb16CYcOVhbvm8o74J3lpl2tp~JL-hu4MKZC3dNRK2bxw0prGmWvyrcbP4ZBTadJLcqZEU72qqsWXFo4vdS8CajkV7xdiR0bhq0FrUIgH~h8xwD6AIKq5vd7Z9lHI0y7F~Q6W1xsI5jfsrEw4xVB5JDqgNrSDllk~9H2E2caZDCr3Bw9uUznSMrgEBSafe7EHVK7V7WtCFS7dyIw9DKVW34BjBt8czdps-Qah5-3NditLMoUGmD0T8Vt6b8boFQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Drama, Romance",Kim Jung-ho quits being a prosecutor despite a promising future after discovering the dirty secrets of his prosecutor father. Kim Yu-ri is a strong-willed and righteous woman.,"Lee Seung-gi, Lee Se-yeong, Oh Min-seok",
Gyeongseong Creature,Gyeongseong Keuricheo,TV Series,2023,TV-MA,1h,17,2,2,7.3,13K,https://www.imdb.com/title/tt22352854/mediaviewer/rm545868545/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3010446873/1434659607842-pgv4ql-1726152132578.mp4?Expires=1730700241&Signature=SJxJeQsTRHa34b8e4PLLo7UGnW1K45Oy3FS3BiuZdkTqa7YXxVZZqPuBs2ao~O1R8FJjE1gj~-Dn4kdekPe5uFS50BWEjYpfoBb3cE9HM4Q~oXHdC-wudN18b30jmKEqLywjWuNL5yEO9-A7Xv9SPsCe-jcEvZ6DMgHOWoU7t240wDqOik~v5amenb6c9NnYc5MOoGtRSvNIMe4ukXkKJsKAT7YTw756lIwaIc6JupqklRoJMLPJZYxK44EcR0PgxdEFHiDmeAmqh1WVEqHCvY0Um-nNO-2FREDW6XvP9joR5YmZmnhi3Y8H1oKmTQKdynC9EbdbZ5eZOQQLSFYuBA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Action, Drama, History, Horror, Mystery, Thriller","In Spring 1945 in Gyeongseong, during Japanese rule over Korea, two young adults confront a strange creature born of greed, and battle against it for survival.","Park Seo-joon, Han So-hee, Kim Hae-sook",Watch on Netflix (https://www.netflix.com/watch/81618079)
Mask Girl,Maseukeugeol,TV Series,2023,TV-MA,1h,7,1,N/A,7.3,8.4K,https://www.imdb.com/title/tt26258200/mediaviewer/rm3418839041/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi2089076505/1434659607842-pgv4ql-1691157945696.mp4?Expires=1730700410&Signature=K2AF4wm9M2JTD6njMOaXWOVBDMAuFDzRoLwHW5CVG2rd3gZAO-glvpiWO5HPZ~5ddhzj7FLbUnVUx63KnfhCbTlxpQimDD6b16QyQG-cR~8NNykCyL3FVanMPxzPwfy1roXCTUS34ZXxZ5inNsEwwfg1ODl6ZxjOonkfzWcaNyMOZ86ar7C~8G9ILC~c-GZzdQK8qIWDOahK-ZRd4EpfFBKsqEUB0OjEFTQUf8LRj5FvdxT2EsPpwQothVy~PwkgW0imP7u9DCBKLkLgVDVTEbPdiKww973au4RYvxpAE0v15-OwqT8g2K2DdAH7SpMQ9uW-OWN4SWY448UcdXVcfQ__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Dark Comedy, Korean Drama, Comedy, Drama, Thriller",An office worker who is insecure about her looks becomes a masked internet personality by night until a chain of ill-fated events overtakes her life.,"Mae Mi, Ren Hanami, Elaine Wang",Watch on Netflix (https://www.netflix.com/watch/81516491)
Cafe Minamdang,Minamdang,TV Series,2022,TV-MA,1h 5m,18,1,N/A,7.3,2.1K,https://www.imdb.com/title/tt21049186/mediaviewer/rm1986292225/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi3151544857/1434659607842-pgv4ql-1655472989371.mp4?Expires=1730701115&Signature=pNvUw2hWwj64JuKIFXGjezXbSNpfQeaKh8sJYL2Lo0vcrPpLqmIEiaEl7ir0Fn8Ap53vU7GhrvuWPQzQB~ZGsjQhBqqiQ1ZQcxWP54-Q-SmU2e6Dg52wWEBzAvNKWCjMuU7thiG2cXhUoUovsLGI5qN-L0VjUqrrEaKmkHruU~oRvxSqGjmDpfYhrHhhgSSgiYIqUKaIcm7cyTKttW4Np9Qu3IkY6vCwA6ikhP6rx~1~qlXmVoN9HThg6hnfJgDlvIgEOV1doWGYRo2MhA1mqO9BIP9HWEPWYMh9Uviy94AuH2RfdBSTwg6Hy1yM7IpGR6ZBI6098OlJ-CIN90rwNA__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Korean Drama, Comedy, Crime, Drama, Thriller",A story about a former criminal profiler who now works as a fraudster posing as a fortune teller and the female detective who gets involved with him.,"Seo In-guk, Oh Yeon-Seo, Kwak Si-yang",Watch on Netflix (https://www.netflix.com/watch/81568217)
Crazy Love,Keureiji reobeu,TV Series,2022,N/A,1h 10m,16,1,N/A,7.3,1.9K,https://www.imdb.com/title/tt18550036/mediaviewer/rm1015421953/?ref_=tt_ov_i,https://imdb-video.media-imdb.com/vi379437593/1434659607842-pgv4ql-1651641993982.mp4?Expires=1730700681&Signature=M40ONPX-u-RhufMAkh~jXID-sQxArFE~vUn8WrEWkNblBvRxzZQb9Wo0UD6VkQ9i2X4hMgVONtVpFNDz83X3e-4-b0SLEmKkXi2qTRs34QTXXCeSKDgOLTWfZ2DBjcLDNAfbu4iT28DIS5ehNhMH6o9KeO606stFQJtJNFfLLggVSdCYpKvO9knM82n64HcMq-9H0Nv9KmQdJ~vjLYnkDMNiRYDEvjzcqa6-f-uKj3LV6cTjDDlCh0sE~~FVkxPVfQpjioTuYEKmF8cbVIbJxRhg7Lr~an0Mn2oDkrNZnp~lXGsww26BI1vdT1RvYGqMUN8kPd1H9PjVgFhIfdV3ww__&Key-Pair-Id=APKAIFLZBVQZ24NQH3KA,"Dark Comedy, Korean Drama, Comedy, Drama, Romance","Noh Gojin, a genius who runs a private education company is conceited because of his many struggles while his current secretary, Lee Sina, who has lasted longer than anyone before, decides to get back at her boss.","Kim Jae-Wook, Krystal Jung, Ha Jun",Watch on Hulu (http://www.hulu.com?d=Amazon)
